timestamp,command_id,event_type,x,y,raw_status_text
15:16:41.078,,AUTO,,,"始点を指示してください  (L)free  (R)Read   [ 1.833°]   12,586.311"
15:18:38.415,,AUTO,,,始点を指示してください  (L)free  (R)Read
15:19:21.338,C001,AUTO,,,始点を指示してください  (L)free  (R)Read
15:22:25.098,C001,AUTO,,,中心点を指示してください  (L)free  (R)Read
15:23:40.384,C001,AUTO,,,始点を指示してください  (L)free  (R)Read
15:36:10.855,,AUTO,,,
15:36:11.048,,AUTO,,,始点を指示してください  (L)free  (R)Read
15:36:15.737,,CLICK,320,237,線を書きます
15:36:15.876,,CLICK_AFTER,321,237,始点を指示してください  (L)free  (R)Read
15:36:16.265,,CLICK,623,356,◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   100.638
15:36:16.297,,AUTO,,,◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   771.565
15:36:16.422,,CLICK_AFTER,730,363,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   4,260.383"
15:36:16.450,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   5,367.412"
15:36:16.580,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   11,875.399"
15:36:16.713,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   17,041.533"
15:36:16.840,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   18,416.932"
15:36:16.966,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   19,154.952"
15:36:17.094,,AUTO,,,"始点を指示してください  (L)free  (R)Read   [ 0.000°]   19,154.952"
15:36:17.552,,CLICK,1205,412,"始点を指示してください  (L)free  (R)Read   [ 0.000°]   19,154.952"
15:36:17.572,,AUTO,,,◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   0.000
15:36:17.695,,CLICK_AFTER,1047,402,"◆　　終点を指示してください  (L)free  (R)Read   [ 180.000°]   6,071.884"
15:36:17.724,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 180.000°]   8,118.210"
15:36:17.848,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 180.000°]   13,418.530"
15:36:17.971,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 180.000°]   16,035.143"
15:36:18.101,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 180.000°]   19,322.683"
15:36:18.218,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 180.000°]   20,530.351"
15:36:18.335,,CLICK,593,417,"◆　　終点を指示してください  (L)free  (R)Read   [ 180.000°]   20,530.351"
15:36:18.469,,CLICK_AFTER,593,417,"始点を指示してください  (L)free  (R)Read   [ 180.000°]   20,530.351"
15:36:18.841,,CLICK,780,291,"始点を指示してください  (L)free  (R)Read   [ 180.000°]   20,530.351"
15:36:19.086,,CLICK_AFTER,772,463,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   6,038.338"
15:36:19.116,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   6,910.543"
15:36:19.246,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   7,950.479"
15:36:19.371,,AUTO,,,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   7,950.479"
15:36:19.729,,CLICK,914,275,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   7,950.479"
15:36:19.864,,CLICK_AFTER,920,361,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   3,321.086"
15:36:19.893,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   4,159.744"
15:36:20.016,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   7,715.654"
15:36:20.144,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   8,755.591"
15:36:20.263,,CLICK,917,537,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   8,789.137"
15:36:20.292,,AUTO,,,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   8,789.137"
15:36:20.417,,CLICK_AFTER,917,537,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   8,789.137"
15:36:20.983,,CLICK,1077,560,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   8,789.137"
15:36:21.122,,CLICK_AFTER,1078,447,"◆　　終点を指示してください  (L)free  (R)Read   [ 90.000°]   4,797.124"
15:36:21.149,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 90.000°]   5,937.699"
15:36:21.278,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 90.000°]   7,380.191"
15:36:21.399,,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 90.000°]   8,285.942"
15:36:21.519,,CLICK,1068,306,"◆　　終点を指示してください  (L)free  (R)Read   [ 90.000°]   8,520.766"
15:36:21.652,,CLICK_AFTER,1068,306,"始点を指示してください  (L)free  (R)Read   [ 90.000°]   8,487.220"
15:36:21.912,,ESC,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   6,105.431"
15:36:22.420,,AUTO,,,始点を指示してください  (L)free  (R)Read
15:36:34.952,,CLICK,621,612,始点を指示してください  (L)free  (R)Read
15:36:35.086,,CLICK_AFTER,621,612,始点を指示してください  (L)free  (R)Read
15:37:25.230,C001,CLICK,1476,157,始点を指示してください  (L)free  (R)Read
15:37:25.381,C001,CLICK_AFTER,1476,157,始点を指示してください  (L)free  (R)Read
15:37:26.563,C001,CLICK,1034,150,始点を指示してください  (L)free  (R)Read
15:37:27.162,C001,CLICK_AFTER,1494,143,始点を指示してください  (L)free  (R)Read
15:37:29.114,C001,AUTO,,,線を書きます
15:37:29.237,C001,CLICK,765,227,線を書きます
15:37:29.369,C001,CLICK_AFTER,765,227,始点を指示してください  (L)free  (R)Read
15:37:29.854,C001,CLICK,771,231,線を書きます
15:37:30.006,C001,CLICK_AFTER,771,231,始点を指示してください  (L)free  (R)Read
15:37:32.203,C001,CLICK,1164,301,始点を指示してください  (L)free  (R)Read
15:37:32.224,C001,AUTO,,,◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   0.000
15:37:32.353,C001,CLICK_AFTER,1166,334,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   1,643.769"
15:37:32.385,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   2,985.623"
15:37:32.517,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   6,206.070"
15:37:32.651,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   6,273.162"
15:37:32.786,C001,CLICK,1165,488,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   6,273.162"
15:37:32.922,C001,CLICK_AFTER,1151,472,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   6,273.162"
15:37:33.173,C001,CLICK,1113,459,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   6,273.162"
15:37:33.311,C001,CLICK_AFTER,1180,459,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   3,690.095"
15:37:33.344,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   6,642.172"
15:37:33.465,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ 0.000°]   13,888.178"
15:37:33.711,C001,AUTO,,,"始点を指示してください  (L)free  (R)Read   [ 0.000°]   13,888.178"
15:37:34.180,C001,CLICK,1478,313,"始点を指示してください  (L)free  (R)Read   [ 0.000°]   13,888.178"
15:37:34.317,C001,CLICK_AFTER,1487,355,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   2,012.779"
15:37:34.354,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   3,421.725"
15:37:34.485,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   7,145.367"
15:37:34.610,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   7,480.830"
15:37:34.733,C001,CLICK,1509,536,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   7,480.830"
15:37:34.875,C001,CLICK_AFTER,1509,536,"始点を指示してください  (L)free  (R)Read   [ -90.000°]   7,480.830"
15:37:36.040,C001,ESC,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   10,063.897"
15:37:36.509,C001,AUTO,,,"◆　　終点を指示してください  (L)free  (R)Read   [ -90.000°]   9,996.805"
15:37:36.639,C001,AUTO,,,始点を指示してください  (L)free  (R)Read
15:59:09.874,C002,AUTO,,,中心点を指示してください  (L)free  (R)Read
15:59:19.558,C002,AUTO,,,矩形を書きます
15:59:19.805,C002,CLICK,588,403,矩形を書きます
15:59:20.007,C002,CLICK_AFTER,588,403,ﾍﾙﾌﾟを表示するには [F1] を押してください。
15:59:20.043,C002,AUTO,,,"□   矩形の基準点を指示して下さい。  (L)free  (R)Read     W=27,450.000    H=27,450.000"
15:59:25.332,C002,CLICK,948,473,"□   矩形の基準点を指示して下さい。  (L)free  (R)Read     W=27,450.000    H=27,450.000"
15:59:25.487,C002,CLICK_AFTER,948,473,"矩形の位置を指示して下さい。     W=27,450.000    H=27,450.000"
15:59:26.522,C002,CLICK,1194,629,"矩形の位置を指示して下さい。     W=27,450.000    H=27,450.000"
15:59:26.678,C002,CLICK_AFTER,1194,629,"□   矩形の基準点を指示して下さい。  (L)free  (R)Read     W=27,450.000    H=27,450.000"
15:59:29.425,C002,CLICK,1320,439,"□   矩形の基準点を指示して下さい。  (L)free  (R)Read     W=27,450.000    H=27,450.000"
15:59:29.460,C002,AUTO,,,"矩形の位置を指示して下さい。     W=27,450.000    H=27,450.000"
15:59:29.592,C002,CLICK_AFTER,1344,461,"矩形の位置を指示して下さい。     W=27,450.000    H=27,450.000"
15:59:30.240,C002,CLICK,1477,625,"矩形の位置を指示して下さい。     W=27,450.000    H=27,450.000"
15:59:30.415,C002,CLICK_AFTER,1477,625,"□   矩形の基準点を指示して下さい。  (L)free  (R)Read     W=27,450.000    H=27,450.000"
